ID,TITULO,INFOS,VALOR,LOCAL,DATA_ANUNCIO,LINK,DATA_COLETA_METADADOS,DATA_COLETA_COMPLETA,UF,Ano
1020102172,ecosport se automatico 1.5 2020/2021,38.401 km  |  Câmbio: Automático  |  Flex  |  ,R$ 84.990,"Anápolis, Vila Dona Maria - DDD 62","Hoje, 19:03",https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/ecosport-se-automatico-1-5-2020-2021-1020102172,2022-05-04,,go,
1002076619,HB20 1.6 2015,79.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 49.900,"Goiânia, Parque Amazônia - DDD 62","Hoje, 19:03",https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/hb20-1-6-2015-1002076619,2022-05-04,,go,
1003418234,ASX 2011,134.000 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 52.900,"Goiânia, Parque Amazônia - DDD 62","Hoje, 19:03",https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/asx-2011-1003418234,2022-05-04,,go,
1012533022,Vw voyage tl 1.6 2018,1 km  |  Câmbio: Manual  |  Flex  |  ,R$ 49.900,"Goiânia, Setor Aeroporto - DDD 62","Hoje, 19:03",https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/vw-voyage-tl-1-6-2018-1012533022,2022-05-04,,go,
1025109628,FOX 2012/2013,105.897 km  |  Câmbio: Manual  |  Flex  |  ,R$ 41.900,"Anápolis, Vila Industrial - DDD 62","Hoje, 19:03",https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/fox-2012-2013-1025109628,2022-05-04,,go,
1028176789,Ônix 1.0 turbo ,74.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 76.900,Quirinópolis - DDD 64,"Hoje, 19:02",https://go.olx.com.br/regiao-de-rio-verde-e-caldas-novas/autos-e-pecas/carros-vans-e-utilitarios/onix-1-0-turbo-1028176789,2022-05-04,,go,
978885618,FORD KA 2020/2020 1.5 TI-VCT FLEX SE MANUAL,53.456 km  |  Câmbio: Manual  |  Flex  |  ,R$ 58.520,"Goiânia, Cidade Jardim - DDD 62","Hoje, 19:01",https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-2020-2020-1-5-ti-vct-flex-se-manual-978885618,2022-05-04,,go,
973325477,GOL 2020/2021 1.0 12V MPI TOTALFLEX 4P MANUAL,60.684 km  |  Câmbio: Manual  |  Flex  |  ,R$ 55.490,"Goiânia, Cidade Jardim - DDD 62","Hoje, 19:01",https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/gol-2020-2021-1-0-12v-mpi-totalflex-4p-manual-973325477,2022-05-04,,go,
1028176594,Crossfox 2014,82.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 47.900,"Goiânia, Setor Aeroporto - DDD 62","Hoje, 19:01",https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/crossfox-2014-1028176594,2022-05-04,,go,
1028176397,Fusca / para amantes de preciosidades ,85.000 km  |  Câmbio: Manual  |  Gasolina  |  ,,"Goiânia, Setor Bueno - DDD 62","Hoje, 19:00",https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/fusca-para-amantes-de-preciosidades-1028176397,2022-05-04,,go,
1001290008,RAM 2500 ,0 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 494.990,"Goiânia, Residencial Itaipu - DDD 62","Hoje, 19:00",https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/ram-2500-1001290008,2022-05-04,,go,
1022152367,Volkswagen Gol 2022 1.6 msi totalflex 4p manual,10.954 km  |  Câmbio: Manual  |  Flex  |  ,R$ 72.990,"Goiânia, Setor Marista - DDD 62","Hoje, 19:00",https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-gol-2022-1-6-msi-totalflex-4p-manual-1022152367,2022-05-04,,go,
1025641193,Hr 2015/2016,142.000 km  |  Câmbio: Manual  |  Diesel  |  ,R$ 90.000,"Goiânia, Setor Aeroporto - DDD 62","Hoje, 18:59",https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/hr-2015-2016-1025641193,2022-05-04,,go,
1028176146,Voyagem 2010 confotilaine  completo só trasfiri ,156.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 29.800,Senador Canedo - DDD 62,"Hoje, 18:59",https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/voyagem-2010-confotilaine-completo-so-trasfiri-1028176146,2022-05-04,,go,
