ID,TITULO,INFOS,VALOR,LOCAL,DATA_ANUNCIO,LINK,DATA_COLETA_METADADOS,DATA_COLETA_COMPLETA,UF,Ano
963879084,TrailBlazer 2020 Premier Extra Diesel 7 Lugares,35.000 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 259.990,"Fortaleza, Engenheiro Luciano Cavalcante - DDD 85","Hoje, 20:54",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/trailblazer-2020-premier-extra-diesel-7-lugares-963879084,2022-05-04,,ce,2020
941470508,Volkswagen AMAROK  Highline CD 3.0 4x4 TB Dies. Aut.,90.763 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 226.900,"Fortaleza, Fátima - DDD 85","Hoje, 20:54",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-amarok-highline-cd-3-0-4x4-tb-dies-aut-941470508,2022-05-04,,ce,2019
964875682,Golf TSI AT ,71.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 70.990,"Fortaleza, Aldeota - DDD 85","Hoje, 20:54",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/golf-tsi-at-964875682,2022-05-04,,ce,2015
964875682,Golf TSI AT ,71.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 70.990,"Fortaleza, Aldeota - DDD 85","Hoje, 20:54",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/golf-tsi-at-964875682,2022-05-04,,ce,2015
1007375991,cronos precision 1.8 flex manual 2019,28.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 72.990,"Fortaleza, Manuel Dias Branco - DDD 85","Hoje, 20:53",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/cronos-precision-1-8-flex-manual-2019-1007375991,2022-05-04,,ce,2019
1025477721,(BLINDADO SEMINOVO) HR-V LX CVT 2017/2018,41.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 124.900,"Fortaleza, Papicu - DDD 85","Hoje, 20:53",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/blindado-seminovo-hr-v-lx-cvt-2017-2018-1025477721,2022-05-04,,ce,2018
1009440984,Fiat Fiorino 2019/2020 1.3 Completa ,41.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 78.900,"Maracanaú, Cidade Nova - DDD 85","Hoje, 20:53",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-fiorino-2019-2020-1-3-completa-1009440984,2022-05-04,,ce,2020
1019882431,Clássic LS ,95.900 km  |  Câmbio: Manual  |  Flex  |  ,R$ 34.900,"Fortaleza, Centro - DDD 85","Hoje, 20:53",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/classic-ls-1019882431,2022-05-04,,ce,2016
837106923,Compass longitude 2021 Diesel.,50.000 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 185.700,"Fortaleza, Manoel Dias Branco - DDD 85","Hoje, 20:53",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/compass-longitude-2021-diesel-837106923,2022-05-04,,ce,2021
992013444,Onix Joy 2018,35.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 49.900,"Fortaleza, Salinas - DDD 85","Hoje, 20:53",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/onix-joy-2018-992013444,2022-05-04,,ce,2018
1024722265,Siena Celebration 2010 1.0 Fire Flex Completo (EXTRA),100.000 km  |  Câmbio: Manual  |  Flex  |  ,R$ 25.900,Eusébio - DDD 85,"Hoje, 20:53",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/siena-celebration-2010-1-0-fire-flex-completo-extra-1024722265,2022-05-04,,ce,2010
1025966876,Polo hl ad ,1 km  |  Câmbio: Automático  |  Flex  |  ,R$ 99.900,"Fortaleza, Meireles - DDD 85","Hoje, 20:52",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/polo-hl-ad-1025966876,2022-05-04,,ce,2021
999385717,Fiat Pulse 1.0 Turbo Impetus 0km!!!! (Pronta entrega),10 km  |  Câmbio: Automático  |  Flex  |  ,R$ 135.901,"Fortaleza, Salinas - DDD 85","Hoje, 20:52",https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-pulse-1-0-turbo-impetus-0km-pronta-entrega-999385717,2022-05-04,,ce,
