ID,TITULO,INFOS,VALOR,LOCAL,DATA_ANUNCIO,LINK,DATA_COLETA_METADADOS,DATA_COLETA_COMPLETA,UF,Ano
1028219308,I30 - Entrada mínima de r$ 5.000 + Parcelas de até 60x,97.000 km  |  Câmbio: Automático  |  Flex  |  ,R$ 54.500,"Brasília, Samambaia Sul (Samambaia) - DDD 61","Hoje, 21:25",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/i30-entrada-minima-de-r-5-000-parcelas-de-ate-60x-1028219308,2022-05-04,,df,2013
1005165128,V12 AERO VW. TCROSS 200TSI 22/22 COM ACC A PRONTA ENTREGA.,0 km  |  Câmbio: Automático  |  Flex  |  ,R$ 129.990,"Brasília, Setor de Habitações Individuais Sul - DDD 61","Hoje, 21:25",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/v12-aero-vw-tcross-200tsi-22-22-com-acc-a-pronta-entrega-1005165128,2022-05-04,,df,2022
978838371,CHEVROLET ONIX 10MT JOYE 2018,67.352 km  |  Câmbio: Manual  |  Flex  |  ,R$ 49.900,"Brasília, Setor Leste (Gama) - DDD 61","Hoje, 21:25",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-onix-10mt-joye-2018-978838371,2022-05-04,,df,2018
1023866971,HONDA FIT 1.5 EXL 16V FLEX 4P AUTOMÁTICO,113.634 km  |  Câmbio: Automático  |  Flex  |  ,R$ 74.900,"Brasília, Norte (Águas Claras) - DDD 61","Hoje, 21:25",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/honda-fit-1-5-exl-16v-flex-4p-automatico-1023866971,2022-05-04,,df,2016
1009229882,Jeep Compass 2.0 Limited (Aut) (Flex),39.549 km  |  Câmbio: Automático  |  Flex  |  ,R$ 139.990,"Brasília, Areal (Águas Claras) - DDD 61","Hoje, 21:25",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/jeep-compass-2-0-limited-aut-flex-1009229882,2022-05-04,,df,2019
1002293115,FRONTIER 2007/2008 2.5 SEL 4X4 CD TURBO ELETRONIC DIESEL 4P AUTOMÁTICO,219.888 km  |  Câmbio: Automático  |  Diesel  |  ,R$ 89.900,"Brasília, Zona Industrial (Guará) - DDD 61","Hoje, 21:23",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/frontier-2007-2008-2-5-sel-4x4-cd-turbo-eletronic-diesel-4p-automatico-1002293115,2022-05-04,,df,
981745767,Elantra  GLS 2011/2012 ,150.304 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 68.900,"Brasília, Zona Industrial (Guará) - DDD 61","Hoje, 21:23",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/elantra-gls-2011-2012-981745767,2022-05-04,,df,2012
910157077,ASX 2.0 16V 4x4 160cv Aut.,61.491 km  |  Câmbio: Automático  |  Gasolina  |  ,R$ 97.900,"Brasília, Zona Industrial (Guará) - DDD 61","Hoje, 21:22",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/asx-2-0-16v-4x4-160cv-aut-910157077,2022-05-04,,df,2017
947255695,VOLKSWAGEN UP CROSS 1.0 TSI TOTAL FLEX 12V 5P 2018,112.842 km  |  Câmbio: Manual  |  Flex  |  ,R$ 63.900,"Brasília, Zona Industrial (Guará) - DDD 61","Hoje, 21:22",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-up-cross-1-0-tsi-total-flex-12v-5p-2018-947255695,2022-05-04,,df,2018
1023865088,HYUNDAI IX35 GLS 2.0 16V 2WD FLEX AUT 2015,117.102 km  |  Câmbio: Automático  |  Flex  |  ,R$ 79.900,"Brasília, Zona Industrial (Guará) - DDD 61","Hoje, 21:22",https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hyundai-ix35-gls-2-0-16v-2wd-flex-aut-2015-1023865088,2022-05-04,,df,2015
